year,month,average_ppm
1889,8,289.727643
1889,9,289.72857
1889,10,290.8098739
1889,11,291.85452
1889,12,292.5245639
1890,1,293.0147246
1890,2,293.4183926
1890,3,293.777031
1890,4,294.0326113
1890,5,293.9823051
1890,6,293.2506206
1890,7,291.6320009
1890,8,290.0732696
1890,9,290.0756549
1890,10,291.158514
1890,11,292.2046876
1890,12,292.8761756
1891,1,293.3691492
1891,2,293.7738532
1891,3,294.1332455
1891,4,294.3893983
1891,5,294.3390167
1891,6,293.6068293
1891,7,291.9887039
1891,8,290.4315997
1891,9,290.4353442
1891,10,291.5195978
1891,11,292.5667224
1891,12,293.2385272
1892,1,293.7221005
1892,2,294.1273128
1892,3,294.4878735
1892,4,294.7453338
1892,5,294.6982539
1892,6,293.9703409
1892,7,292.3513942
1892,8,290.7877059
1892,9,290.7848732
1892,10,291.8611869
1892,11,292.900925
1892,12,293.5666866
1893,1,294.0417986
1893,2,294.4439136
1893,3,294.802708
1893,4,295.0591633
1893,5,295.0145861
1893,6,294.2914152
1893,7,292.6711357
1893,8,291.0992662
1893,9,291.0896146
1893,10,292.1587177
1893,11,293.1936646
1893,12,293.8580036
1894,1,294.3409077
1894,2,294.7458617
1894,3,295.1082683
1894,4,295.3687002
1894,5,295.329049
1894,6,294.6111355
1894,7,292.9937171
1894,8,291.4218426
1894,9,291.4115413
1894,10,292.4785867
1894,11,293.5106841
1894,12,294.1716927
1895,1,294.6507527
1895,2,295.051801
1895,3,295.4101345
1895,4,295.6663473
1895,5,295.6233006
1895,6,294.9026367
1895,7,293.2809187
1895,8,291.7031583
1895,9,291.6879179
1895,10,292.7506533
1895,11,293.780056
1895,12,294.4403091
1896,1,294.9239844
1896,2,295.3267471
1896,3,295.6873218
1896,4,295.9461638
1896,5,295.9056797
1896,6,295.1874397
1896,7,293.5686074
1896,8,291.9940752
1896,9,291.9814293
1896,10,293.0461001
1896,11,294.0763194
1896,12,294.7361179
1897,1,295.218071
1897,2,295.6185151
1897,3,295.9762205
1897,4,296.23189
1897,5,296.1879554
1897,6,295.4662812
1897,7,293.8447964
1897,8,292.2686545
1897,9,292.2551015
1897,10,293.3198944
1897,11,294.3512845
1897,12,295.0133206
1898,1,295.4957858
1898,2,295.9005878
1898,3,296.2636313
1898,4,296.5253059
1898,5,296.4883743
1898,6,295.7742522
1898,7,294.1590524
1898,8,292.587576
1898,9,292.57846
1898,10,293.6469186
1898,11,294.6815486
1898,12,295.3464916
1899,1,295.836768
1899,2,296.2431643
1899,3,296.6069236
1899,4,296.8687857
1899,5,296.8307966
1899,6,296.1149468
1899,7,294.500189
1899,8,292.9317395
1899,9,292.9257625
1899,10,293.9982026
1899,11,295.0369162
1899,12,295.7057881
1900,1,296.2059639
1900,2,296.6148095
1900,3,296.9802865
1900,4,297.2433543
1900,5,297.2046534
1900,6,296.4867289
1900,7,294.8725288
1900,8,293.3075828
1900,9,293.3039809
1900,10,294.3784597
1900,11,295.4174329
1900,12,296.0841997
1901,1,296.5744285
1901,2,296.977942
1901,3,297.3368686
1901,4,297.5925454
1901,5,297.545069
1901,6,296.8176233
1901,7,295.1958702
1901,8,293.6258325
1901,9,293.6174466
1901,10,294.6882312
1901,11,295.7240336
1901,12,296.3880846
1902,1,296.8745614
1902,2,297.2774974
1902,3,297.6375069
1902,4,297.8958056
1902,5,297.8519195
1902,6,297.1288391
1902,7,295.5126954
1902,8,293.9492714
1902,9,293.9474188
1902,10,295.0245086
1902,11,296.0658101
1902,12,296.7341348
1903,1,297.2192844
1903,2,297.6237668
1903,3,297.9838012
1903,4,298.240515
1903,5,298.1945499
1903,6,297.4687898
1903,7,295.8471119
1903,8,294.2753433
1903,9,294.2651185
1903,10,295.3335536
1903,11,296.3670583
1903,12,297.0290694
1904,1,297.5051307
1904,2,297.9076072
1904,3,298.2682463
1904,4,298.527648
1904,5,298.488067
1904,6,297.7711674
1904,7,296.1546403
1904,8,294.5834417
1904,9,294.5746673
1904,10,295.6438713
1904,11,296.6791264
1904,12,297.3443421
1905,1,297.8328502
1905,2,298.2388423
1905,3,298.6018743
1905,4,298.8626566
1905,5,298.823237
1905,6,298.1056751
1905,7,296.4891066
1905,8,294.918809
1905,9,294.9108631
1905,10,295.9812906
1905,11,297.0179513
1905,12,297.6847927
1906,1,298.1759107
1906,2,298.5845921
1906,3,298.9512001
1906,4,299.2165723
1906,5,299.1820857
1906,6,298.4698666
1906,7,296.8604245
1906,8,295.2990118
1906,9,295.300016
1906,10,296.3796156
1906,11,297.4249772
1906,12,298.0996691
1907,1,298.5965274
1907,2,299.0111218
1907,3,299.3825821
1907,4,299.6517149
1907,5,299.6198039
1907,6,298.9091345
1907,7,297.300804
1907,8,295.7401939
1907,9,295.7412745
1907,10,296.820413
1907,11,297.8646867
1907,12,298.5376772
1908,1,299.0316659
1908,2,299.4437081
1908,3,299.8123797
1908,4,300.0785564
1908,5,300.0436243
1908,6,299.3299465
1908,7,297.7186499
1908,8,296.1551971
1908,9,296.1537003
1908,10,297.2306009
1908,11,298.2730814
1908,12,298.9448174
1909,1,299.4362542
1909,2,299.8486609
1909,3,300.218731
1909,4,300.4872281
1909,5,300.4559163
1909,6,299.7467562
1909,7,298.1391354
1909,8,296.5782081
1909,9,296.5794831
1909,10,297.6589074
1909,11,298.7040378
1909,12,299.378603
1910,1,299.8732277
1910,2,300.2881771
1910,3,300.6602829
1910,4,300.9301424
1910,5,300.8999799
1910,6,300.1916984
1910,7,298.5836684
1910,8,297.0210538
1910,9,297.0205972
1910,10,298.0981217
1910,11,299.1416836
1910,12,299.8152813
1911,1,300.3034865
1911,2,300.7198582
1911,3,301.0949976
1911,4,301.3691018
1911,5,301.3462329
1911,6,300.6472536
1911,7,299.0444861
1911,8,297.4824057
1911,9,297.4834519
1911,10,298.5620624
1911,11,299.6081605
1911,12,300.286411
1912,1,300.7835237
1912,2,301.2076133
1912,3,301.5912883
1912,4,301.8744
1912,5,301.8619836
1912,6,301.1741902
1912,7,299.5797106
1912,8,298.0225132
1912,9,298.0282547
1912,10,299.1104596
1912,11,300.1600349
1912,12,300.8419289
1913,1,301.3473245
1913,2,301.7738966
1913,3,302.1587274
1913,4,302.4416199
1913,5,302.4274923
1913,6,301.7367578
1913,7,300.1389109
1913,8,298.5781444
1913,9,298.5796488
1913,10,299.6572485
1913,11,300.7017982
1913,12,301.3783243
1914,1,301.8794733
1914,2,302.3003378
1914,3,302.6795134
1914,4,302.9570801
1914,5,302.9375107
1914,6,302.2415121
1914,7,300.640229
1914,8,299.0780524
1914,9,299.0786418
1914,10,300.1562087
1914,11,301.2011142
1914,12,301.8782159
1915,1,302.3806034
1915,2,302.8026844
1915,3,303.1835563
1915,4,303.4634616
1915,5,303.4462424
1915,6,302.7527454
1915,7,301.1557248
1915,8,299.5996068
1915,9,299.6062099
1915,10,300.6899855
1915,11,301.7405788
1915,12,302.4224844
1916,1,302.9248522
1916,2,303.3502806
1916,3,303.733893
1916,4,304.0156638
1916,5,303.9999141
1916,6,303.3073716
1916,7,301.7094147
1916,8,300.1504424
1916,9,300.1538529
1916,10,301.233895
1916,11,302.2808299
1916,12,302.9594661
1917,1,303.4603039
1917,2,303.8832856
1917,3,304.2648675
1917,4,304.5451227
1917,5,304.5284327
1917,6,303.8352445
1917,7,302.2363617
1917,8,300.6759144
1917,9,300.6773961
1917,10,301.7547471
1917,11,302.7981053
1917,12,303.4720877
1918,1,303.9718099
1918,2,304.3865225
1918,3,304.7573988
1918,4,305.0245863
1918,5,304.9914376
1918,6,304.2795086
1918,7,302.6637555
1918,8,301.089235
1918,9,301.0765235
1918,10,302.1409071
1918,11,303.1719123
1918,12,303.8342667
1919,1,304.326513
1919,2,304.7326596
1919,3,305.0974824
1919,4,305.3621177
1919,5,305.3283102
1919,6,304.6179076
1919,7,303.0106785
1919,8,301.4515822
1919,9,301.4552476
1919,10,302.5375017
1919,11,303.5854321
1919,12,304.2624276
1920,1,304.7645599
1920,2,305.179632
1920,3,305.5500738
1920,4,305.8166192
1920,5,305.7796581
1920,6,305.0620542
1920,7,303.4475063
1920,8,301.881886
1920,9,301.877137
1920,10,302.9503911
1920,11,303.9882083
1920,12,304.6541261
1921,1,305.1442898
1921,2,305.5484724
1921,3,305.9092687
1921,4,306.168176
1921,5,306.1251004
1921,6,305.4030381
1921,7,303.7878731
1921,8,302.2253588
1921,9,302.2245764
1921,10,303.3028389
1921,11,304.3454897
1921,12,305.0153657
1922,1,305.5102525
1922,2,305.9154582
1922,3,306.2753427
1922,4,306.5313323
1922,5,306.4818827
1922,6,305.750929
1922,7,304.1286694
1922,8,302.5616855
1922,9,302.5557327
1922,10,303.6294054
1922,11,304.6672127
1922,12,305.331938
1923,1,305.8242279
1923,2,306.2249906
1923,3,306.5816213
1923,4,306.8364041
1923,5,306.7863957
1923,6,306.0560752
1923,7,304.4405082
1923,8,302.8863199
1923,9,302.8935626
1923,10,303.9815017
1923,11,305.03239
1923,12,305.7078354
1924,1,306.2087096
1924,2,306.6143864
1924,3,306.972667
1924,4,307.2257449
1924,5,307.1685847
1924,6,306.4266989
1924,7,304.8008635
1924,8,303.2386375
1924,9,303.2353151
1924,10,304.3117166
1924,11,305.3487508
1924,12,306.0077513
1925,1,306.4914938
1925,2,306.877024
1925,3,307.2142441
1925,4,307.446201
1925,5,307.3663604
1925,6,306.6014466
1925,7,304.9583661
1925,8,303.3855089
1925,9,303.3726837
1925,10,304.4422306
1925,11,305.4733614
1925,12,306.1268997
1926,1,306.6106081
1926,2,306.9921241
1926,3,307.3266267
1926,4,307.5581091
1926,5,307.4773832
1926,6,306.7123882
1926,7,305.0785235
1926,8,303.5245645
1926,9,303.531052
1926,10,304.6217654
1926,11,305.6724382
1926,12,306.3422312
1927,1,306.8347014
1927,2,307.2257438
1927,3,307.5665222
1927,4,307.8008627
1927,5,307.7174727
1927,6,306.9451892
1927,7,305.3049879
1927,8,303.7467396
1927,9,303.7467244
1927,10,304.8304011
1927,11,305.8724553
1927,12,306.5320061
1928,1,307.0135335
1928,2,307.3932905
1928,3,307.7235244
1928,4,307.9490079
1928,5,307.8575244
1928,6,307.078755
1928,7,305.4379868
1928,8,303.8851767
1928,9,303.8916801
1928,10,304.9835889
1928,11,306.0336691
1928,12,306.7000627
1929,1,307.1795893
1929,2,307.5642016
1929,3,307.8984617
1929,4,308.1265833
1929,5,308.0364741
1929,6,307.2574428
1929,7,305.6133711
1929,8,304.0543692
1929,9,304.0537722
1929,10,305.1376261
1929,11,306.1795811
1929,12,306.8383202
1930,1,307.3135449
1930,2,307.6918739
1930,3,308.0207583
1930,4,308.2447938
1930,5,308.1520513
1930,6,307.3720813
1930,7,305.7291843
1930,8,304.1733744
1930,9,304.1773068
1930,10,305.2669951
1930,11,306.31576
1930,12,306.9820645
1931,1,307.4729651
1931,2,307.8588491
1931,3,308.1947127
1931,4,308.4255379
1931,5,308.3372129
1931,6,307.5602382
1931,7,305.9253479
1931,8,304.3831474
1931,9,304.3999204
1931,10,305.5030312
1931,11,306.5636049
1931,12,307.2392178
1932,1,307.738722
1932,2,308.1290674
1932,3,308.467287
1932,4,308.6988565
1932,5,308.6073003
1932,6,307.8243044
1932,7,306.188113
1932,8,304.6503901
1932,9,304.6707371
1932,10,305.7784216
1932,11,306.8425295
1932,12,307.520053
1933,1,308.014679
1933,2,308.4061923
1933,3,308.746555
1933,4,308.9816882
1933,5,308.8947825
1933,6,308.1179977
1933,7,306.4912219
1933,8,304.965881
1933,9,304.9992274
1933,10,306.120521
1933,11,307.1977646
1933,12,307.8872644
1934,1,308.3948516
1934,2,308.7945159
1934,3,309.1404836
1934,4,309.3785429
1934,5,309.2902454
1934,6,308.5081091
1934,7,306.8764002
1934,8,305.3477439
1934,9,305.3765125
1934,10,306.4936105
1934,11,307.5666076
1934,12,308.2521438
1935,1,308.7556879
1935,2,309.1549428
1935,3,309.5038617
1935,4,309.7492239
1935,5,309.6726167
1935,6,308.907568
1935,7,307.3002806
1935,8,305.8027258
1935,9,305.8660323
1935,10,307.0207322
1935,11,308.1327042
1935,12,308.8573836
1936,1,309.3999413
1936,2,309.8361229
1936,3,310.219671
1936,4,310.4966676
1936,5,310.4469691
1936,6,309.7037178
1936,7,308.1156061
1936,8,306.6350473
1936,9,306.7108139
1936,10,307.8741867
1936,11,308.9903672
1936,12,309.7146403
1937,1,310.2586073
1937,2,310.6850094
1937,3,311.0542442
1937,4,311.3131651
1937,5,311.2395065
1937,6,310.4678081
1937,7,308.8545587
1937,8,307.3535795
1937,9,307.4072159
1937,10,308.5490167
1937,11,309.6424582
1937,12,310.3425739
1938,1,310.8619537
1938,2,311.2640413
1938,3,311.6104537
1938,4,311.8492281
1938,5,311.7566299
1938,6,310.9688981
1938,7,309.3492052
1938,8,307.8515109
1938,9,307.9110974
1938,10,309.062422
1938,11,310.1662086
1938,12,310.8760897
1939,1,311.4046326
1939,2,311.8142342
1939,3,312.1667063
1939,4,312.410017
1939,5,312.3178533
1939,6,311.5269343
1939,7,309.9066763
1939,8,308.4119955
1939,9,308.4723502
1939,10,309.623913
1939,11,310.725661
1939,12,311.4307573
1940,1,311.9526089
1940,2,312.3534686
1940,3,312.6961933
1940,4,312.9295421
1940,5,312.8256183
1940,6,312.0224264
1940,7,310.3955238
1940,8,308.9003393
1940,9,308.9603977
1940,10,310.1130719
1940,11,311.2152633
1940,12,311.9192688
1941,1,312.4364057
1941,2,312.8336584
1941,3,313.1719321
1941,4,313.4001474
1941,5,313.2891028
1941,6,312.4772745
1941,7,310.8438917
1941,8,309.3448516
1941,9,309.4001858
1941,10,310.5481805
1941,11,311.6446267
1941,12,312.3414581
1942,1,312.8519609
1942,2,313.2395773
1942,3,313.5673378
1942,4,313.7846407
1942,5,313.6608775
1942,6,312.8353987
1942,7,311.1922485
1942,8,309.6877185
1942,9,309.7371108
1942,10,310.8796459
1942,11,311.9694481
1942,12,312.6577442
1943,1,313.1585911
1943,2,313.5339054
1943,3,313.8476545
1943,4,314.0495091
1943,5,313.9071932
1943,6,313.0607389
1943,7,311.3990966
1943,8,309.8793398
1943,9,309.9123462
1943,10,311.0387422
1943,11,312.1113805
1943,12,312.7812045
1944,1,313.270426
1944,2,313.6249688
1944,3,313.9172851
1944,4,314.0982328
1944,5,313.932532
1944,6,313.0622843
1944,7,311.3873112
1944,8,309.8656886
1944,9,309.8978701
1944,10,311.02665
1944,11,312.1012662
1944,12,312.7711818
1945,1,313.2510645
1945,2,313.6036308
1945,3,313.8939421
1945,4,314.0729293
1945,5,313.9040356
1945,6,313.0297203
1945,7,311.3530896
1945,8,309.8326968
1945,9,309.86589
1945,10,310.9964153
1945,11,312.0725993
1945,12,312.7436814
1946,1,313.2211353
1946,2,313.5755264
1946,3,313.8687482
1946,4,314.0519407
1946,5,313.8886432
1946,6,313.0215479
1946,7,311.3541716
1946,8,309.8448259
1946,9,309.8901549
1946,10,311.0335395
1946,11,312.1227854
1946,12,312.8066687
1947,1,313.298689
1947,2,313.6637391
1947,3,313.9658036
1947,4,314.1557782
1947,5,313.9960804
1947,6,313.1293427
1947,7,311.4609574
1947,8,309.9496897
1947,9,309.990541
1947,10,311.1278878
1947,11,312.209321
1947,12,312.8838483
1948,1,313.3692337
1948,2,313.7230322
1948,3,314.0136472
1948,4,314.1928855
1948,5,314.022112
1948,6,313.145284
1948,7,311.4732474
1948,8,309.9653159
1948,9,310.0114564
1948,10,311.1569078
1948,11,312.2474137
1948,12,312.9311347
1949,1,313.421953
1949,2,313.7855542
1949,3,314.0865271
1949,4,314.2765467
1949,5,314.1162742
1949,6,313.2496553
1949,7,311.5887463
1949,8,310.0928597
1949,9,310.1504638
1949,10,311.3070169
1949,11,312.407693
1949,12,313.1003744
1950,1,313.5978978
1950,2,313.9680339
1950,3,314.2743485
1950,4,314.468454
1950,5,314.3107461
1950,6,313.4451506
1950,7,311.7841444
1950,8,310.2872061
1950,9,310.342642
1950,10,311.4963694
1950,11,312.5937412
1950,12,313.2829219
1951,1,313.7795008
1951,2,314.1464758
1951,3,314.4502363
1951,4,314.6429369
1951,5,314.4845735
1951,6,313.6198127
1951,7,311.9638643
1951,8,310.4765094
1951,9,310.5434381
1951,10,311.7107575
1951,11,312.8227105
1951,12,313.5268314
1952,1,314.0382579
1952,2,314.4201514
1952,3,314.7385197
1952,4,314.9453392
1952,5,314.7996355
1952,6,313.946064
1952,7,312.3015091
1952,8,310.8257935
1952,9,310.9027568
1952,10,312.0790565
1952,11,313.1983935
1952,12,313.9081631
1953,1,314.4253354
1953,2,314.8096868
1953,3,315.1291583
1953,4,315.3360892
1953,5,315.1886247
1953,6,314.3320447
1953,7,312.6865002
1953,8,311.2122255
1953,9,311.2900548
1953,10,312.4673728
1953,11,313.5868911
1953,12,314.2956496
1954,1,314.8061476
1954,2,315.1882054
1954,3,315.5052855
1954,4,315.7096778
1954,5,315.5598118
1954,6,314.7008481
1954,7,313.05211
1954,8,311.5737596
1954,9,311.6474588
1954,10,312.8204184
1954,11,313.9356357
1954,12,314.6402669
1955,1,315.1432068
1955,2,315.5219719
1955,3,315.836311
1955,4,316.0382262
1955,5,315.8872986
1955,6,315.0280976
1955,7,313.3762963
1955,8,311.89168
1955,9,311.959438
1955,10,313.125983
1955,11,314.2355014
1955,12,314.9356048
1956,1,315.4324715
1956,2,315.8090907
1956,3,316.1223206
1956,4,316.3237344
1956,5,316.174614
1956,6,315.3186512
1956,7,313.6661154
1956,8,312.1762351
1956,9,312.2394322
